county_name,median_income,population,bachelors_degree,labor_force,median_rent,commute_time,owner_occupied,renter_occupied,state_fips,county_fips
"Autauga County, Alabama",68315.0,58761.0,6726.0,3369.0,1199.0,25588.0,16832.0,5476.0,01,001
"Baldwin County, Alabama",71039.0,233420.0,33474.0,10875.0,1160.0,96231.0,70708.0,20094.0,01,003
"Barbour County, Alabama",39712.0,24877.0,1167.0,1230.0,627.0,8007.0,5858.0,3158.0,01,005
"Bibb County, Alabama",50669.0,22251.0,1047.0,1000.0,765.0,7753.0,5465.0,1751.0,01,007
"Blount County, Alabama",57440.0,59077.0,3840.0,2959.0,734.0,23404.0,17144.0,4482.0,01,009
"Bullock County, Alabama",36136.0,10328.0,492.0,855.0,619.0,3653.0,2231.0,1219.0,01,011
"Butler County, Alabama",44429.0,18981.0,1029.0,779.0,720.0,7118.0,5047.0,2084.0,01,013
"Calhoun County, Alabama",54339.0,116162.0,9098.0,7402.0,806.0,47328.0,31694.0,12999.0,01,015
"Chambers County, Alabama",48805.0,34612.0,2273.0,1201.0,842.0,14243.0,9486.0,3657.0,01,017
"Cherokee County, Alabama",46621.0,25069.0,1530.0,1093.0,700.0,9751.0,7972.0,2025.0,01,019
"Chilton County, Alabama",62471.0,45140.0,2504.0,1800.0,814.0,17692.0,12700.0,4231.0,01,021
"Choctaw County, Alabama",43299.0,12669.0,873.0,834.0,616.0,4351.0,4286.0,942.0,01,023
"Clarke County, Alabama",47549.0,23058.0,1346.0,1191.0,723.0,7545.0,5916.0,2272.0,01,025
"Clay County, Alabama",48074.0,14209.0,926.0,828.0,576.0,4922.0,4297.0,1188.0,01,027
"Cleburne County, Alabama",51553.0,15144.0,1172.0,686.0,782.0,5405.0,4496.0,1265.0,01,029
"Coffee County, Alabama",62199.0,53559.0,4786.0,2801.0,921.0,21973.0,14145.0,6218.0,01,031
"Colbert County, Alabama",56149.0,57270.0,4578.0,2685.0,810.0,23920.0,16520.0,6746.0,01,033
"Conecuh County, Alabama",39888.0,11576.0,642.0,691.0,718.0,3602.0,3326.0,1127.0,01,035
"Coosa County, Alabama",52279.0,10329.0,578.0,401.0,632.0,3615.0,3249.0,750.0,01,037
"Covington County, Alabama",48772.0,37542.0,2585.0,1755.0,701.0,14591.0,10642.0,3552.0,01,039
"Crenshaw County, Alabama",48557.0,13205.0,1092.0,603.0,595.0,4846.0,3609.0,1230.0,01,041
"Cullman County, Alabama",58119.0,88284.0,7463.0,4435.0,848.0,37652.0,25640.0,8009.0,01,043
"Dale County, Alabama",52813.0,49455.0,4360.0,2194.0,829.0,19077.0,11669.0,7731.0,01,045
"Dallas County, Alabama",37180.0,38326.0,2633.0,2050.0,726.0,13562.0,9060.0,5693.0,01,047
"DeKalb County, Alabama",47920.0,71680.0,3996.0,4079.0,684.0,29134.0,18974.0,6716.0,01,049
"Elmore County, Alabama",73258.0,87694.0,9637.0,4511.0,982.0,36386.0,24812.0,7372.0,01,051
"Escambia County, Alabama",41153.0,36755.0,2168.0,2067.0,659.0,12628.0,8744.0,4278.0,01,053
"Etowah County, Alabama",52177.0,103348.0,7840.0,4527.0,779.0,42377.0,28454.0,10337.0,01,055
"Fayette County, Alabama",45650.0,16297.0,943.0,973.0,600.0,6062.0,4659.0,1484.0,01,057
"Franklin County, Alabama",47359.0,32011.0,2204.0,1829.0,596.0,13198.0,8231.0,3008.0,01,059
"Geneva County, Alabama",47608.0,26647.0,1842.0,1149.0,696.0,10267.0,7870.0,2521.0,01,061
"Greene County, Alabama",32796.0,7706.0,579.0,260.0,682.0,2098.0,2112.0,760.0,01,063
"Hale County, Alabama",35851.0,14742.0,1079.0,669.0,668.0,5232.0,4187.0,1216.0,01,065
"Henry County, Alabama",58395.0,17282.0,1758.0,765.0,678.0,6897.0,5454.0,1232.0,01,067
"Houston County, Alabama",55064.0,107040.0,10616.0,5036.0,858.0,43430.0,27196.0,14347.0,01,069
"Jackson County, Alabama",46748.0,52618.0,3874.0,2321.0,702.0,19248.0,15733.0,4937.0,01,071
"Jefferson County, Alabama",63595.0,672265.0,96805.0,36496.0,1086.0,279782.0,170356.0,95438.0,01,073
"Lamar County, Alabama",49565.0,13885.0,606.0,499.0,495.0,5045.0,3858.0,1310.0,01,075
"Lauderdale County, Alabama",56081.0,94329.0,10372.0,4942.0,773.0,40718.0,25815.0,12422.0,01,077
"Lawrence County, Alabama",54786.0,33116.0,2364.0,1471.0,692.0,13401.0,10191.0,2638.0,01,079
"Lee County, Alabama",59288.0,175126.0,23707.0,13982.0,953.0,74933.0,42517.0,22649.0,01,081
"Limestone County, Alabama",80146.0,104199.0,13776.0,5253.0,861.0,43611.0,29968.0,8604.0,01,083
"Lowndes County, Alabama",33125.0,10153.0,739.0,564.0,760.0,3514.0,3100.0,901.0,01,085
"Macon County, Alabama",41206.0,19198.0,1275.0,2230.0,688.0,6444.0,4489.0,2642.0,01,087
"Madison County, Alabama",78058.0,389781.0,71617.0,21315.0,1043.0,169225.0,108545.0,51024.0,01,089
"Marengo County, Alabama",42975.0,19180.0,1654.0,1239.0,702.0,7015.0,5038.0,2341.0,01,091
"Marion County, Alabama",49743.0,29203.0,1476.0,1530.0,581.0,10694.0,8031.0,2987.0,01,093
"Marshall County, Alabama",58272.0,97923.0,9437.0,5107.0,746.0,38534.0,27083.0,8847.0,01,095
"Mobile County, Alabama",55352.0,413878.0,43806.0,21263.0,973.0,162920.0,101334.0,58271.0,01,097
"Monroe County, Alabama",39965.0,19816.0,1072.0,1165.0,692.0,5998.0,5285.0,2013.0,01,099
"Montgomery County, Alabama",56707.0,228132.0,29456.0,12927.0,1028.0,91816.0,51349.0,38372.0,01,101
"Morgan County, Alabama",61588.0,123102.0,13494.0,6026.0,791.0,51572.0,34922.0,13082.0,01,103
"Perry County, Alabama",32332.0,8479.0,537.0,1068.0,560.0,2086.0,2157.0,918.0,01,105
"Pickens County, Alabama",45339.0,18925.0,1229.0,953.0,578.0,6278.0,5253.0,1830.0,01,107
"Pike County, Alabama",42616.0,32997.0,3024.0,3232.0,750.0,12853.0,7561.0,4435.0,01,109
"Randolph County, Alabama",49879.0,22179.0,1892.0,1018.0,704.0,7986.0,6917.0,1812.0,01,111
"Russell County, Alabama",47420.0,58849.0,4088.0,2853.0,908.0,22140.0,14351.0,9111.0,01,113
"St. Clair County, Alabama",73218.0,91719.0,8608.0,4522.0,1044.0,38228.0,27658.0,6180.0,01,115
"Shelby County, Alabama",90618.0,223916.0,45813.0,12436.0,1272.0,97979.0,67810.0,15966.0,01,117
"Sumter County, Alabama",31726.0,12196.0,901.0,1111.0,770.0,3914.0,3324.0,1474.0,01,119
"Talladega County, Alabama",52457.0,81105.0,5623.0,3815.0,750.0,30310.0,23275.0,9084.0,01,121
"Tallapoosa County, Alabama",53282.0,41251.0,3380.0,2155.0,701.0,14795.0,12409.0,4029.0,01,123
"Tuscaloosa County, Alabama",61645.0,231558.0,25838.0,20420.0,974.0,101817.0,52792.0,31951.0,01,125
"Walker County, Alabama",52987.0,64978.0,4268.0,2990.0,698.0,24415.0,19152.0,5566.0,01,127
"Washington County, Alabama",51184.0,15434.0,707.0,828.0,698.0,5174.0,4868.0,638.0,01,129
"Wilcox County, Alabama",38208.0,10441.0,554.0,752.0,787.0,3076.0,2844.0,735.0,01,131
"Winston County, Alabama",49494.0,23655.0,1384.0,1064.0,680.0,9212.0,7122.0,1981.0,01,133
"Aleutians East Borough, Alaska",79961.0,3407.0,339.0,116.0,1035.0,1891.0,529.0,370.0,02,013
"Aleutians West Census Area, Alaska",100662.0,5219.0,508.0,224.0,1672.0,3316.0,268.0,701.0,02,016
"Anchorage Municipality, Alaska",95731.0,290674.0,44340.0,14263.0,1405.0,135648.0,68356.0,38778.0,02,020
"Bethel Census Area, Alaska",64094.0,18538.0,532.0,1188.0,1408.0,6036.0,2693.0,1872.0,02,050
"Bristol Bay Borough, Alaska",94167.0,854.0,139.0,26.0,1183.0,398.0,144.0,140.0,02,060
"Chugach Census Area, Alaska",83068.0,7000.0,1001.0,318.0,1364.0,3343.0,1725.0,1030.0,02,063
"Copper River Census Area, Alaska",70606.0,2614.0,341.0,93.0,877.0,981.0,750.0,340.0,02,066
"Denali Borough, Alaska",87292.0,2101.0,229.0,94.0,863.0,1331.0,456.0,69.0,02,068
"Dillingham Census Area, Alaska",69412.0,4854.0,329.0,266.0,1106.0,1684.0,841.0,543.0,02,070
"Fairbanks North Star Borough, Alaska",81655.0,96299.0,12039.0,4818.0,1360.0,45252.0,21494.0,14330.0,02,090
"Haines Borough, Alaska",68276.0,2079.0,238.0,78.0,889.0,734.0,548.0,238.0,02,100
"Hoonah-Angoon Census Area, Alaska",62344.0,2329.0,375.0,68.0,996.0,1063.0,646.0,221.0,02,105
"Juneau City and Borough, Alaska",95711.0,32108.0,5922.0,1560.0,1464.0,14661.0,8365.0,4652.0,02,110
"Kenai Peninsula Borough, Alaska",76272.0,59235.0,7313.0,2831.0,1126.0,22224.0,17808.0,5393.0,02,122
"Ketchikan Gateway Borough, Alaska",82763.0,13910.0,1908.0,670.0,1275.0,6724.0,3656.0,1912.0,02,130
"Kodiak Island Borough, Alaska",91138.0,13065.0,1655.0,611.0,1646.0,6444.0,2500.0,1915.0,02,150
"Kusilvak Census Area, Alaska",42663.0,8372.0,161.0,550.0,819.0,2293.0,1322.0,542.0,02,158
"Lake and Peninsula Borough, Alaska",61607.0,999.0,56.0,63.0,933.0,458.0,219.0,107.0,02,164
"Matanuska-Susitna Borough, Alaska",86435.0,108661.0,10907.0,5825.0,1242.0,41569.0,30043.0,9247.0,02,170
