congress,number,type,origin_chamber,title,latest_action_date,latest_action_text,update_date,url
110,11,HCONRES,House,"Entitled the ""English Plus Resolution"".",2007-01-04,Referred to the House Committee on Education and Labor.,2025-07-21,https://api.congress.gov/v3/bill/110/hconres/11?format=json
110,12,HCONRES,House,Requiring the display of the Ten Commandments in the United States Capitol.,2007-01-05,Sponsor introductory remarks on measure. (CR E22-23),2024-02-07,https://api.congress.gov/v3/bill/110/hconres/12?format=json
110,14,HCONRES,House,Expressing that Congress has the sole and exclusive power to declare war.,2007-01-05,Referred to the House Committee on Foreign Affairs.,2024-02-07,https://api.congress.gov/v3/bill/110/hconres/14?format=json
110,1,HCONRES,House,Regarding consent to assemble outside the seat of government.,2007-01-08,Received in the Senate and referred to the Committee on Rules and Administration.,2025-01-14,https://api.congress.gov/v3/bill/110/hconres/1?format=json
110,22,HCONRES,House,Expressing the sense of Congress that the President should provide notice of withdrawal of the United States from the North American Free Trade Agreement (NAFTA).,2007-01-11,Referred to the Subcommittee on Trade.,2024-02-07,https://api.congress.gov/v3/bill/110/hconres/22?format=json
110,31,HCONRES,House,Honoring the Mare Island Original 21ers for their efforts to remedy racial discrimination in employment at Mare Island Naval Shipyard.,2007-01-18,"Received in the Senate and referred to the Committee on Health, Education, Labor, and Pensions.",2025-07-21,https://api.congress.gov/v3/bill/110/hconres/31?format=json
110,40,HCONRES,House,Expressing the sense of Congress that the United States should not engage in the construction of a North American Free Trade Agreement (NAFTA) Superhighway System or enter into a North American Union with Mexico and Canada.,2007-01-23,Referred to the Subcommittee on Highways and Transit.,2024-02-07,https://api.congress.gov/v3/bill/110/hconres/40?format=json
110,41,HCONRES,House,Providing for a conditional adjournment of the House of Representatives.,2007-01-24,Message on Senate action sent to the House.,2020-07-23,https://api.congress.gov/v3/bill/110/hconres/41?format=json
110,45,HCONRES,House,Expressing the sense of Congress on the new strategy in Iraq.,2007-01-24,"Referred to the Committee on Foreign Affairs, and in addition to the Committee on Armed Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2025-06-06,https://api.congress.gov/v3/bill/110/hconres/45?format=json
110,5,HCONRES,House,"Expressing support for the designation and goals of ""Hire a Veteran Week"" and encouraging the President to issue a proclamation supporting those goals.",2007-01-31,Received in the Senate and Read twice and referred to the Committee on Veterans' Affairs.,2025-06-06,https://api.congress.gov/v3/bill/110/hconres/5?format=json
110,30,HCONRES,House,"Raising awareness and encouraging prevention of stalking by establishing January 2007 as ""National Stalking Awareness Month"".",2007-02-02,"Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.",2025-12-05,https://api.congress.gov/v3/bill/110/hconres/30?format=json
110,51,HCONRES,House,Supporting the goals and ideals of National Wear Red Day.,2007-02-02,Referred to the Subcommittee on Health.,2024-02-05,https://api.congress.gov/v3/bill/110/hconres/51?format=json
110,4,HCONRES,House,Urging increased Federal funding for juvenile (Type 1) diabetes research.,2007-02-02,Referred to the Subcommittee on Health.,2024-02-05,https://api.congress.gov/v3/bill/110/hconres/4?format=json
110,35,HCONRES,House,Supporting the goals and ideals of National Black HIV/AIDS Awareness Day.,2007-02-07,Sponsor introductory remarks on measure. (CR H1311),2025-04-21,https://api.congress.gov/v3/bill/110/hconres/35?format=json
110,72,HCONRES,House,"Recognizing and honoring America's labor movement, supporting the designation of a National Labor History Month, and for other purposes.",2007-02-16,Referred to the House Committee on Education and Labor.,2025-07-21,https://api.congress.gov/v3/bill/110/hconres/72?format=json
110,70,HCONRES,House,"Supporting the goals and ideals of National Celiac Awareness Month, and for other purposes.",2007-02-27,Referred to the Subcommittee on Health.,2025-01-02,https://api.congress.gov/v3/bill/110/hconres/70?format=json
110,75,HCONRES,House,Expressing the sense of Congress that the global use of child soldiers is unacceptable and that the international community should find remedies end this practice.,2007-02-27,Referred to the House Committee on Foreign Affairs.,2025-01-02,https://api.congress.gov/v3/bill/110/hconres/75?format=json
110,52,HCONRES,House,Supporting the goals and ideals of American Heart Month.,2007-03-01,"Received in the Senate and referred to the Committee on Health, Education, Labor, and Pensions.",2025-04-21,https://api.congress.gov/v3/bill/110/hconres/52?format=json
110,82,HCONRES,House,Expressing the sense of the Congress that a commemorative postage stamp should be issued in honor of the USS New Jersey and all those who served aboard her.,2007-03-06,Referred to the House Committee on Oversight and Government Reform.,2025-02-04,https://api.congress.gov/v3/bill/110/hconres/82?format=json
110,81,HCONRES,House,Expressing the sense of the Congress regarding bone marrow diseases.,2007-03-07,Referred to the Subcommittee on Health.,2025-04-07,https://api.congress.gov/v3/bill/110/hconres/81?format=json
110,85,HCONRES,House,Supporting the goals and ideals of National Cystic Fibrosis Awareness Month.,2007-03-09,Referred to the Subcommittee on Health.,2025-12-05,https://api.congress.gov/v3/bill/110/hconres/85?format=json
110,91,HCONRES,House,Expressing the need for enhanced public awareness of traumatic brain injury and support for the designation of a National Brain Injury Awareness Month.,2007-03-14,Referred to the Subcommittee on Health.,2025-01-02,https://api.congress.gov/v3/bill/110/hconres/91?format=json
110,24,HCONRES,House,Expressing the sense of the Congress that the President should grant a pardon to Marcus Mosiah Garvey to clear his name and affirm his innocence of crimes for which he was unjustly prosecuted and convicted.,2007-03-15,Sponsor introductory remarks on measure. (CR E561-563),2022-02-08,https://api.congress.gov/v3/bill/110/hconres/24?format=json
