term,id,name,docket_number,date_decided,date_argued,date_granted,majority_votes,decision_type,minority_votes,winning_party,vote_Neil_Gorsuch,vote_Ketanji_Brown_Jackson,"vote_John_G._Roberts,_Jr.",vote_Brett_M._Kavanaugh,vote_Elena_Kagan,vote_Sonia_Sotomayor,vote_Clarence_Thomas,vote_Amy_Coney_Barrett,"vote_Samuel_A._Alito,_Jr.",opinion_Amy_Coney_Barrett,opinion_Neil_Gorsuch,"opinion_John_G._Roberts,_Jr.",opinion_Sonia_Sotomayor,"opinion_Samuel_A._Alito,_Jr.",opinion_Clarence_Thomas,opinion_Elena_Kagan,opinion_Ketanji_Brown_Jackson,opinion_Brett_M._Kavanaugh,justia_url,description,question
2022,63453,Students for Fair Admissions v. President and Fellows of Harvard College,20-1199,2023-06-29T13:00:00,2022-10-31T13:00:00,2022-01-24T14:00:00,6,majority opinion,2,SFFA,majority,none,majority,majority,minority,minority,majority,majority,majority,none,concurrence,majority,dissent,none,concurrence,none,none,concurrence,https://supreme.justia.com/cases/federal/us/600/20-1199/,A case in which the Court overruled its decision in Grutter v. Bollinger to hold that institutions of higher education cannot use race as a factor in admissions.,"<p>May institutions of higher education use race as a factor in admissions?</p>
<p>If so, does Harvard College’s race-conscious admissions process violate Title VI of the Civil Rights Act of 1964?</p>
"
2022,63455,Sackett v. Environmental Protection Agency,21-454,2023-05-25T13:00:00,2022-10-03T13:00:00,2022-01-24T14:00:00,5,majority opinion,4,Sackett,majority,minority,majority,minority,minority,minority,majority,majority,majority,none,none,none,none,majority,concurrence,special concurrence,none,special concurrence,https://supreme.justia.com/cases/federal/us/598/21-454/,A case in which the Court held that wetlands are “waters of the United States” under the Clean Water Act only if they have a continuous surface connection with traditional navigable waters.,"<p>What is the proper test for determining whether wetlands are “waters of the United States” under the Clean Water Act? </p>
"
2022,63456,303 Creative LLC v. Elenis,21-476,2023-06-30T13:00:00,2022-12-05T14:00:00,2022-02-22T14:00:00,6,majority opinion,3,303 Creative,majority,minority,majority,majority,minority,minority,majority,majority,majority,none,majority,none,dissent,none,none,none,none,none,https://supreme.justia.com/cases/federal/us/600/21-476/,A case in which the Court held that applying a public-accommodation law to compel an artist to speak or stay silent violates the Free Speech Clause of the First Amendment. ​​,"<p>Does application of the Colorado AntiDiscrimination Act to compel an artist to speak or stay silent violate the Free Speech Clause of the First Amendment?</p>
"
2022,63457,Arellano v. McDonough,21-432,2023-01-23T14:00:00,2022-10-04T13:00:00,2022-02-22T14:00:00,9,majority opinion,0,McDonough,majority,majority,majority,majority,majority,majority,majority,majority,majority,majority,none,none,none,none,none,none,none,none,https://supreme.justia.com/cases/federal/us/598/21-432/,"A case in which the Court held the one-year filing deadline for veterans to submit disability claims after they are discharged is not subject to principles of equitable tolling, meaning that missing the filing deadline forfeits retroactive disability benefits.","<p>Can the one-year filing deadline for veterans to submit disability claims after they are discharged be extended under principles of equitable tolling?</p>
"
2022,63461,Delaware v. Pennsylvania and Wisconsin,22O145,2023-02-28T14:00:00,2022-10-03T13:00:00,,9,majority opinion,0,Pennsylvania and Wisconsin,majority,majority,majority,majority,majority,majority,majority,majority,majority,none,none,none,none,none,none,none,majority,none,,"A case in which the Court held that the Federal Disposition Act applies to unclaimed or uncashed checks issued by MoneyGram Payments Systems, and thus that they must be returned to the state where they were purchased.","<p>Are unclaimed MoneyGram checks “money orders” or “similar written instruments” and thus subject to a federal law that remits them to the states where they were purchased?</p>
"
2022,63462,Haaland v. Brackeen,21-376,2023-06-15T13:00:00,2022-11-09T14:00:00,2022-02-28T14:00:00,7,majority opinion,2,Haaland,majority,majority,majority,majority,majority,majority,minority,majority,minority,majority,concurrence,none,none,dissent,dissent,none,none,none,https://supreme.justia.com/cases/federal/us/599/21-376/,A case in which the Court upheld the constitutionality of the Indian Child Welfare Act.,"<p>Do the Indian Child Welfare Act’s restrictions on placement of Native American children violate anti-commandeering principles of the Tenth Amendment?</p>
"
2022,63473,National Pork Producers Council v. Ross,21-468,2023-05-11T13:00:00,2022-10-11T13:00:00,2022-03-28T13:00:00,5,plurality opinion,4,Ross,majority,minority,minority,minority,majority,majority,majority,majority,minority,concurrence,majority,concurrence,concurrence,none,none,none,none,none,https://supreme.justia.com/cases/federal/us/598/21-468/,A case in which the Court affirmed the lower court's dismissal of a challenge to a California law restricting the sale of pork within the state in a way that affects most or all commercial out-of-state farms.,"<p>Does a California law that prohibits the in-state sale of pork from animals confined in a manner inconsistent with California standards violate the “dormant” component of the Constitution’s Commerce Clause?</p>
"
2022,63474,Cruz v. Arizona,21-846,2023-02-22T14:00:00,2022-11-01T13:00:00,2022-03-28T13:00:00,5,majority opinion,4,Cruz,minority,majority,majority,majority,majority,majority,minority,minority,minority,dissent,none,none,majority,none,none,none,none,none,https://supreme.justia.com/cases/federal/us/598/21-846/,A case in which the Court held the Arizona Supreme Court’s ruling that a state rule of criminal procedure precluded post-conviction relief is not an adequate and independent state-law ground for the judgment against him. ,"<p>Is the Arizona Supreme Court’s ruling that a state rule of criminal procedure precluded post-conviction relief an adequate and independent state-law ground for the judgment against him, thereby precluding review by a federal court? </p>
"
2022,63475,"Andy Warhol Foundation for the Visual Arts, Inc. v. Goldsmith",21-869,2023-05-18T13:00:00,2022-10-12T13:00:00,2022-03-28T13:00:00,7,majority opinion,2,Goldsmith,majority,majority,minority,majority,minority,majority,majority,majority,majority,none,concurrence,none,majority,none,none,dissent,none,none,https://supreme.justia.com/cases/federal/us/598/21-869/,A case in which the Court held that Andy Warhol Foundation's commercial use of artwork derived from Lynn Goldsmith's copyrighted photograph of the musician Prince lacked transformative value and thus weighed against fair use.,"<p>What is the proper test for whether a work is “transformative” under the first factor of the Copyright Act’s fair use doctrine?</p>
"
2022,63485,Mallory v. Norfolk Southern Railway Co.,21-1168,2023-06-27T13:00:00,2022-11-08T14:00:00,2022-04-25T13:00:00,5,plurality opinion,4,Mallory,majority,majority,minority,minority,minority,majority,majority,minority,majority,dissent,majority,none,none,special concurrence,none,none,concurrence,none,https://supreme.justia.com/cases/federal/us/600/21-1168/,A case in which the Court held that a state registration statute for out-of-state corporations confers general personal jurisdiction over the registrant.  ,"<p>Does a state registration statute for out-of-state corporations that purports to confer general personal jurisdiction over the registrant violate the Due Process Clause of the Fourteenth Amendment?</p>
"
